
🚀 LSTM Grid Search (GPU) — 12 configurations
📝 Log file : logs/tune_lstm_gpu_20260324_005504.txt
🕒 Started  : 2026-03-24 00:55:04
🖥️  GPU       : NVIDIA GeForce RTX 5090
   VRAM     : 33.7 GB

⚙️  Strategy : multi-battery cross-battery validation (leak-free scaler)
📊 Train    : 336 cycles (B0005 + B0006)
📊 Valid    : 132 cycles (B0018) [cross-battery, no leakage]
   Data types : [True, False] | Layers: [1, 2] | Nodes: [32, 64, 160]
   Max Epochs : 250 | Patience: 15

[01/12] Data=Engineered (14 pts) | Layers=1 | Nodes=32
[0, 0.31364601850509644, 0.0515739768743515, 0.3211665451526642, 0.28194957971572876, '00:00']
[1, 0.14376479387283325, 0.014250426553189754, 0.16882196068763733, 0.13981831073760986, '00:00']
[2, 0.08711923658847809, 0.013333741575479507, 0.16330181062221527, 0.14379052817821503, '00:00']
[3, 0.060809142887592316, 0.012232020497322083, 0.1564098447561264, 0.1372678279876709, '00:00']
[4, 0.04679258167743683, 0.01188314612954855, 0.15416319668293, 0.13799169659614563, '00:00']
[5, 0.038659363985061646, 0.0118754543364048, 0.1541132926940918, 0.13855069875717163, '00:00']
[6, 0.03369224816560745, 0.011796904727816582, 0.15360276401042938, 0.13769008219242096, '00:00']
[7, 0.030541207641363144, 0.011730088852345943, 0.15316715836524963, 0.13724558055400848, '00:00']
[8, 0.02878871001303196, 0.01168318372219801, 0.1528606116771698, 0.13757649064064026, '00:00']
[9, 0.027300897985696793, 0.011551914736628532, 0.15199944376945496, 0.13586416840553284, '00:00']
[10, 0.026185177266597748, 0.011517608538269997, 0.1517735719680786, 0.13450028002262115, '00:00']
[11, 0.025028225034475327, 0.011009737849235535, 0.14838960766792297, 0.13374744355678558, '00:00']
[12, 0.023620808497071266, 0.011190571822226048, 0.14960329234600067, 0.13011030852794647, '00:00']
[13, 0.022187909111380577, 0.009740125387907028, 0.1395716667175293, 0.12477267533540726, '00:00']
[14, 0.019961204379796982, 0.008439538069069386, 0.12991949915885925, 0.11777328699827194, '00:00']
[15, 0.01705373264849186, 0.006730277091264725, 0.11601962894201279, 0.10545672476291656, '00:00']
[16, 0.013765489682555199, 0.011102496646344662, 0.14901338517665863, 0.11944221705198288, '00:00']
[17, 0.010347818024456501, 0.005498010199517012, 0.10486191511154175, 0.08439923077821732, '00:00']
[18, 0.007314701098948717, 0.011328330263495445, 0.15052129328250885, 0.1320703774690628, '00:00']
[19, 0.005161212291568518, 0.01118825376033783, 0.14958779513835907, 0.13085207343101501, '00:00']
[20, 0.0037567242980003357, 0.007768705021589994, 0.12464915961027145, 0.10353630036115646, '00:00']
[21, 0.0027942953165620565, 0.005588699597865343, 0.10572322458028793, 0.08408033847808838, '00:00']
[22, 0.002094827825203538, 0.00767114944756031, 0.12386403977870941, 0.1049748957157135, '00:00']
[23, 0.0017090399051085114, 0.0072001442313194275, 0.12000119686126709, 0.0978042408823967, '00:00']
[24, 0.0013916415628045797, 0.00726424902677536, 0.12053421884775162, 0.10111028701066971, '00:00']
[25, 0.0011756066232919693, 0.006751694716513157, 0.11620408296585083, 0.0969347432255745, '00:00']
[26, 0.0010653500212356448, 0.007009126711636782, 0.11839870363473892, 0.10061577707529068, '00:00']
[27, 0.0009396244422532618, 0.005521293263882399, 0.10508370399475098, 0.08885450661182404, '00:00']
[28, 0.0008373145246878266, 0.007641817443072796, 0.12362699210643768, 0.10850054770708084, '00:00']
[29, 0.0007741096778772771, 0.006401984486728907, 0.11315462738275528, 0.09046057611703873, '00:00']
[30, 0.0007416851003654301, 0.006219847593456507, 0.11153338104486465, 0.09800153225660324, '00:00']
[31, 0.0007063247612677515, 0.007407029625028372, 0.12171301990747452, 0.10234908759593964, '00:00']
[32, 0.0006649550632573664, 0.007980634458363056, 0.1263379156589508, 0.11590898036956787, '00:00']
No improvement since epoch 17: early stopping
█ |----------------------------------------------------------------------------------------------------| 0.00% [0/9 00:00<?] |███████████-----------------------------------------------------------------------------------------| 11.11% [1/9 00:00<00:00] |██████████████████████------------------------------------------------------------------------------| 22.22% [2/9 00:00<00:00... 0.0007] |█████████████████████████████████-------------------------------------------------------------------| 33.33% [3/9 00:00<00:00... 0.0007] |████████████████████████████████████████████--------------------------------------------------------| 44.44% [4/9 00:00<00:00... 0.0007] |███████████████████████████████████████████████████████---------------------------------------------| 55.56% [5/9 00:00<00:00... 0.0007] |████████████████████████████████████████████████████████████████████████████████████████████████████| 100.00% [9/9 00:00<00:00... 0.0007]                                                                                                                                                                                                                                                                                         ✅ 33 epochs | Val MAE: 0.1159 Ah | 5.5s

[02/12] Data=Engineered (14 pts) | Layers=1 | Nodes=64
[0, 0.1596316695213318, 0.01856725662946701, 0.19270318746566772, 0.16354350745677948, '00:00']
[1, 0.07997556030750275, 0.01272575743496418, 0.15953528881072998, 0.1378023773431778, '00:00']
[2, 0.054264821112155914, 0.011840678751468658, 0.15388748049736023, 0.13749679923057556, '00:00']
[3, 0.042343270033597946, 0.014542561024427414, 0.1705436110496521, 0.13955946266651154, '00:00']
